source_id,organization_or_authors,year,title,source_type,primary_url,source_locator,variables_supported,retrieved_or_accessed,archived_source_sha256,verification_status,scientific_boundary
DALLAS_LRWSP_2024,Dallas Water Utilities,2024,2024 Long Range Water Supply Plan,utility plan,https://dallascityhall.com/departments/waterutilities/Documents/DWU%20LRWSP%202024_with%20Appendices.pdf,regional supply-system sections,Dallas-Fort Worth multi-reservoir and reuse context,accessed 2026-09-06,,institutional source verified,Multi-utility regional context; no single gauge is representative.
ATLANTA_DWM_OVERVIEW,Atlanta Department of Watershed Management,n.d.,Water and Wastewater System Overview,utility report,https://www.atlantawatershed.org/wp-content/uploads/2019/10/CEIP-SystemOverview_final.pdf,PDF p. 2,Chattahoochee utility source family,archived project copy,,source statement verified in archived PDF,"Supports source-component screening, not facility allocation."
LOUDOUN_WATER_2026,Loudoun Water,2026,Your Drinking Water Quality,utility webpage,https://www.loudounwater.org/residential-customers/your-drinking-water-quality,supply-source overview,Northern Virginia supply portfolio,accessed 2026-09-06,,institutional source verified,Portfolio context only.
VALLEY_WATER_2026,Santa Clara Valley Water District,2026,Where Your Water Comes From: Imported Water,utility webpage,https://www.valleywater.org/your-water/where-your-water-comes-from/imported-water,water-source overview,Silicon Valley imported and local supply portfolio,accessed 2026-09-06,,institutional source verified,Portfolio context only.
SEATTLE_WSP_2019,Seattle Public Utilities,2019,"2019 Water System Plan, Volume 1",utility plan,https://www.seattle.gov/documents/departments/spu/documents/plans/spufinal2019_wsp_volume1.pdf,PDF p. 23; Cedar supplies approximately 60-70%,Cedar and South Fork Tolt portfolio; Cedar fraction,archived project copy,,source statement and page verified,"The 0.70 Cedar fraction is a documented upper-bound scenario, not a facility allocation."
DALLES_WQR_2024,City of The Dalles,2024,2024 Water Quality Report,utility report,https://ormswd2.synergydcs.com/HPRMWebDrawer/Record/6884165/File/document,source-water section,protected watershed and municipal wells,2026-09-05 archive audit,5547c37fcb6a97affc92b357bc9c00d2986533ea5738694d7d0f828b6c0cff8a,verified against archived report,The Columbia River is outside the documented municipal supply portfolio.
QUINCY_ECOLOGY_2019,Washington State Department of Ecology,2019,Microsoft Columbia Data Center Draft Technical Support Document,regulatory technical document,https://ecology.wa.gov/getattachment/26e593fe-7ea0-4b34-bd46-c6b2f58aad33/20191209MSColumbiaDraftTSD.pdf,water-supply and discharge sections,Quincy potable groundwater and reuse context,accessed 2026-09-06,,institutional source verified,Does not support a Columbia River facility-pressure calculation.
PRINEVILLE_WMP_2023,City of Prineville,2023,"2023 Water System Master Plan, Volume 1",utility plan,https://www.cityofprineville.com/1261/Ordinances,source and mitigation sections,"Prineville groundwater, mitigation and ASR context",accessed 2026-09-06,,institutional source verified,Crooked River gauge is not a direct municipal-supply denominator.
IOWA_DNR_PWS_2026,Iowa Department of Natural Resources,2026,Public Water Supply 706012 Facility Inventory,regulatory database,https://programs.iowadnr.gov/iowadrinkingwater/search/pwsdetails?tinwsysIsNumber=706012,facility inventory,Altoona-Des Moines multi-source system,accessed 2026-09-06,,institutional source verified,Portfolio context only.
GOOGLE_IOWA_DC,Google Data Centers,n.d.,Iowa Data Center Location,operator facility webpage,https://datacenters.google/locations/iowa/,Council Bluffs facility description,named facility location,archived project copy,,facility identity verified,Does not identify the actual 2025 utility billing source or river/alluvium split.
CB_PLANNING_2012,Council Bluffs Planning Commission,2012,"Minutes of the May 8, 2012 Meeting",municipal record,https://www.councilbluffs-ia.gov/ArchiveCenter/ViewFile/Item/668,PDF p. 10,public-water and sanitary-sewer infrastructure to Google expansion,archived project copy,,source statement and page verified,Historical infrastructure link; greywater discussion is not treated as 2025 evidence.
CB_WATER_WORKS_2024,Council Bluffs Water Works,2024,General Information: General Description of System Operations,utility webpage,https://www.cbwaterworks.com/about/general-information/,source-system description,Missouri River primary source and Missouri River Alluvium secondary source,archived project copy,,source statement verified,Actual 2025 river/alluvium mix is not available.
IOWA_DNR_MISSOURI_2022,Iowa Department of Natural Resources,2022,2022 Assessment for Missouri River Segment IA 06-WEM-1709,regulatory database,https://programs.iowadnr.gov/adbnet/Segments/1709/Assessment/2022,segment/intake description,intake river mile 619,archived project copy,615af5b46145e84a2aaa5c5e3bd3f3cffecc2b4b940f7cad1e54b94ade944288,source locator verified,Used only to establish approximate gauge-to-intake geography.
