table,row_key,reported_or_derived_fields,value_status,source_ids,source_locators,calculation_or_boundary,analysis_script
Table 1,"Prineville, OR",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,PRINEVILLE_WMP_2023,PRINEVILLE_WMP_2023: source and mitigation sections,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Council Bluffs, IA",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,CB_WATER_WORKS_2024; IOWA_DNR_MISSOURI_2022,CB_WATER_WORKS_2024: source-system description | IOWA_DNR_MISSOURI_2022: segment/intake description,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Altoona-Des Moines, IA",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,IOWA_DNR_PWS_2026,IOWA_DNR_PWS_2026: facility inventory,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 2,architecture 1: Airside economizer with evaporative or chiller backup,cooling architecture and direct-water boundary,modeled,LEI_MASANET_2022,LEI_MASANET_2022: methods and archived central scenario vector,Parameterized only where the table states Hourly model.,03_build_tables_and_metadata.py
Table 2,architecture 2: Water-cooled chiller and evaporative tower,cooling architecture and direct-water boundary,modeled,LEI_MASANET_2022,LEI_MASANET_2022: methods and archived central scenario vector,Parameterized only where the table states Hourly model.,03_build_tables_and_metadata.py
Table 2,architecture 3: Air-cooled refrigeration or dry cooler,cooling architecture and direct-water boundary,conceptual boundary,LEI_MASANET_2022,LEI_MASANET_2022: methods and archived central scenario vector,Parameterized only where the table states Hourly model.,03_build_tables_and_metadata.py
Table 2,architecture 4: Dry cooler,cooling architecture and direct-water boundary,conceptual boundary,LEI_MASANET_2022,LEI_MASANET_2022: methods and archived central scenario vector,Parameterized only where the table states Hourly model.,03_build_tables_and_metadata.py
Table 2,architecture 5: Evaporative tower,cooling architecture and direct-water boundary,conceptual boundary,LEI_MASANET_2022,LEI_MASANET_2022: methods and archived central scenario vector,Parameterized only where the table states Hourly model.,03_build_tables_and_metadata.py
Table 3,Atlanta / Chattahoochee River / Climate-responsive hybrid,"source fraction, mean consumption, p50, p95 and maximum pressure",modeled and study-derived,ATLANTA_DWM_OVERVIEW; USGS_02336000; LEI_MASANET_2022,"ATLANTA_DWM_OVERVIEW: PDF p. 2 | USGS_02336000: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30 | LEI_MASANET_2022: methods and archived central scenario vector",C = P_ref*24*WUE_C/1000; pressure = 100*s*C/Q.,01_prepare_analysis_data.py; 02_run_statistical_analysis.py
Table 3,Atlanta / Chattahoochee River / Water-cooled evaporative,"source fraction, mean consumption, p50, p95 and maximum pressure",modeled and study-derived,ATLANTA_DWM_OVERVIEW; USGS_02336000; LEI_MASANET_2022,"ATLANTA_DWM_OVERVIEW: PDF p. 2 | USGS_02336000: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30 | LEI_MASANET_2022: methods and archived central scenario vector",C = P_ref*24*WUE_C/1000; pressure = 100*s*C/Q.,01_prepare_analysis_data.py; 02_run_statistical_analysis.py
Table 3,Seattle / Cedar River / Climate-responsive hybrid,"source fraction, mean consumption, p50, p95 and maximum pressure",modeled and study-derived,SEATTLE_WSP_2019; USGS_12117500; LEI_MASANET_2022,"SEATTLE_WSP_2019: PDF p. 23; Cedar supplies approximately 60-70% | USGS_12117500: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30 | LEI_MASANET_2022: methods and archived central scenario vector",C = P_ref*24*WUE_C/1000; pressure = 100*s*C/Q.,01_prepare_analysis_data.py; 02_run_statistical_analysis.py
Table 3,Seattle / Cedar River / Water-cooled evaporative,"source fraction, mean consumption, p50, p95 and maximum pressure",modeled and study-derived,SEATTLE_WSP_2019; USGS_12117500; LEI_MASANET_2022,"SEATTLE_WSP_2019: PDF p. 23; Cedar supplies approximately 60-70% | USGS_12117500: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30 | LEI_MASANET_2022: methods and archived central scenario vector",C = P_ref*24*WUE_C/1000; pressure = 100*s*C/Q.,01_prepare_analysis_data.py; 02_run_statistical_analysis.py
Table 3,Council Bluffs / Missouri River family / Climate-responsive hybrid,"source fraction, mean consumption, p50, p95 and maximum pressure",modeled and study-derived,CB_WATER_WORKS_2024; USGS_06610000; LEI_MASANET_2022,"CB_WATER_WORKS_2024: source-system description | USGS_06610000: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30 | LEI_MASANET_2022: methods and archived central scenario vector",C = P_ref*24*WUE_C/1000; pressure = 100*s*C/Q.,01_prepare_analysis_data.py; 02_run_statistical_analysis.py
Table 3,Council Bluffs / Missouri River family / Water-cooled evaporative,"source fraction, mean consumption, p50, p95 and maximum pressure",modeled and study-derived,CB_WATER_WORKS_2024; USGS_06610000; LEI_MASANET_2022,"CB_WATER_WORKS_2024: source-system description | USGS_06610000: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30 | LEI_MASANET_2022: methods and archived central scenario vector",C = P_ref*24*WUE_C/1000; pressure = 100*s*C/Q.,01_prepare_analysis_data.py; 02_run_statistical_analysis.py
Table 4,Atlanta / Chattahoochee River,"daily records, Qmean, Q10, B and p10 DAF",observed flow plus study-derived descriptors,USGS_02336000,"USGS_02336000: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30",B = 1-Q10/Qmean; DAF = Qmean/Q10.,02_run_statistical_analysis.py
Table 4,Seattle / Cedar River,"daily records, Qmean, Q10, B and p10 DAF",observed flow plus study-derived descriptors,USGS_12117500,"USGS_12117500: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30",B = 1-Q10/Qmean; DAF = Qmean/Q10.,02_run_statistical_analysis.py
Table 4,Council Bluffs / Missouri River family,"daily records, Qmean, Q10, B and p10 DAF",observed flow plus study-derived descriptors,USGS_06610000,"USGS_06610000: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30",B = 1-Q10/Qmean; DAF = Qmean/Q10.,02_run_statistical_analysis.py
Table 5,U.S. East (Northern Virginia),FY2024/FY2025 PUE and WUE; annual changes,operator-reported levels and study-derived differences,AWS_CLOUD_2026,AWS_CLOUD_2026: regional PUE and WUE table archived 2026-09-05,Change = FY2025-FY2024; only matched regions retained.,01_prepare_analysis_data.py
Table 5,U.S. East (Ohio),FY2024/FY2025 PUE and WUE; annual changes,operator-reported levels and study-derived differences,AWS_CLOUD_2026,AWS_CLOUD_2026: regional PUE and WUE table archived 2026-09-05,Change = FY2025-FY2024; only matched regions retained.,01_prepare_analysis_data.py
Table 5,U.S. West (Northern California),FY2024/FY2025 PUE and WUE; annual changes,operator-reported levels and study-derived differences,AWS_CLOUD_2026,AWS_CLOUD_2026: regional PUE and WUE table archived 2026-09-05,Change = FY2025-FY2024; only matched regions retained.,01_prepare_analysis_data.py
Table 5,U.S. West (Oregon),FY2024/FY2025 PUE and WUE; annual changes,operator-reported levels and study-derived differences,AWS_CLOUD_2026,AWS_CLOUD_2026: regional PUE and WUE table archived 2026-09-05,Change = FY2025-FY2024; only matched regions retained.,01_prepare_analysis_data.py
Table 6,Phoenix-Mesa,"documented system, observation and interpretive boundary",reported and/or quality-controlled as stated in row,MESA_OPEN_DATA_2026,MESA_OPEN_DATA_2026: dataset 5zhe-5nig; retrieved 2026-08-22,Municipal pathways are not allocated to individual facilities,01_prepare_analysis_data.py; 02_run_statistical_analysis.py; 03_build_tables_and_metadata.py
Table 6,Microsoft Quincy QWRU,"documented system, observation and interpretive boundary",reported and/or quality-controlled as stated in row,QUINCY_OPS_2020; EPA_QUINCY_REUSE,QUINCY_OPS_2020: PDF pp. 3 and 15 | EPA_QUINCY_REUSE: Project Highlights and Solution sections,Different years and accounting bases are not combined into a facility balance,01_prepare_analysis_data.py; 02_run_statistical_analysis.py; 03_build_tables_and_metadata.py
Table 6,Google Douglas County,"documented system, observation and interpretive boundary",reported and/or quality-controlled as stated in row,GOOGLE_ENV_2026,"GOOGLE_ENV_2026: printed p. 97, Water use by data center location; endnote 224 on p. 116",Facility split is distinct from Google's broader reporting-rule classification,01_prepare_analysis_data.py; 02_run_statistical_analysis.py; 03_build_tables_and_metadata.py
Table 6,Google Council Bluffs,"documented system, observation and interpretive boundary",reported and/or quality-controlled as stated in row,GOOGLE_ENV_2026; GOOGLE_IOWA_DC; CB_PLANNING_2012; CB_WATER_WORKS_2024; IOWA_DNR_MISSOURI_2022; USGS_06610000,"GOOGLE_ENV_2026: printed p. 97, Water use by data center location; endnote 224 on p. 116 | GOOGLE_IOWA_DC: Council Bluffs facility description | CB_PLANNING_2012: PDF p. 10 | CB_WATER_WORKS_2024: source-system description | IOWA_DNR_MISSOURI_2022: segment/intake description | USGS_06610000: daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30","Downstream gauge does not allocate river/alluvial supply, utility capacity, water rights or ecological effects to the facility",01_prepare_analysis_data.py; 02_run_statistical_analysis.py; 03_build_tables_and_metadata.py
